3552715268.410	0.069	0.282
3552715269.410	0.069	0.283
3552715270.409	0.067	0.286
3552715271.409	0.068	0.282
3552715272.408	0.069	0.283
3552715273.409	0.068	0.283
3552715274.408	0.068	0.282
3552715275.409	0.068	0.282
3552715276.410	0.068	0.280
3552715277.409	0.068	0.281
3552715278.410	0.068	0.282
3552715279.424	0.068	0.277
3552715280.409	0.068	0.282
3552715281.409	0.068	0.281
3552715282.410	0.067	0.281
3552715283.411	0.068	0.281
3552715284.409	0.068	0.281
3552715375.375	0.069	0.288
3552715376.577	0.068	0.285
3552715377.574	0.069	0.287
3552715378.574	0.069	0.285
3552715379.574	0.068	0.283
3552715380.575	0.068	0.280
3552715381.574	0.066	0.280
3552715382.573	0.068	0.282
3552715383.574	0.068	0.281
3552715384.573	0.067	0.282
3552715385.574	0.067	0.284
3552715386.574	0.067	0.283
3552715387.574	0.068	0.284
3552715388.574	0.069	0.284
3552715389.574	0.068	0.282
3552715390.574	0.067	0.281
3552715391.574	0.068	0.282
3552715392.573	0.068	0.281
3552715393.572	0.067	0.278
3552715394.572	0.067	0.284
3552715395.572	0.068	0.284
3552715396.572	0.068	0.284
3552715397.574	0.069	0.283
3552715398.573	0.067	0.283
3552715399.574	0.068	0.286
3552715400.573	0.068	0.284
3552715401.574	0.068	0.282
3552715402.574	0.068	0.285
3552715403.574	0.068	0.282
3552715404.592	0.064	0.280
3552715405.574	0.065	0.279
3552715406.574	0.065	0.280
3552715407.573	0.067	0.281
3552715408.572	0.065	0.280
3552715409.572	0.065	0.279
3552715410.572	0.064	0.280
3552715411.572	0.065	0.280
3552715412.573	0.065	0.280
3552715413.572	0.066	0.282
3552715414.573	0.065	0.277
3552715415.573	0.065	0.280
3552715416.573	0.066	0.283
3552715417.573	0.065	0.279
3552715418.574	0.066	0.282
3552715419.574	0.066	0.281
3552715420.574	0.065	0.281
3552715421.573	0.065	0.281
3552715422.572	0.065	0.280
3552715423.573	0.065	0.281
3552715424.573	0.064	0.281
3552715425.573	0.065	0.280
3552715426.572	0.064	0.281
3552715427.573	0.065	0.281
3552715428.573	0.065	0.278
3552715429.573	0.064	0.278
3552715430.572	0.065	0.281
3552715431.573	0.065	0.280
3552715432.574	0.065	0.280
3552715433.573	0.065	0.279
3552715434.573	0.066	0.281
3552715435.574	0.065	0.282
3552715436.573	0.064	0.280
3552715437.573	0.065	0.279
3552715438.572	0.064	0.280
3552715439.572	0.065	0.280
3552715440.573	0.066	0.278
3552715441.572	0.066	0.281
3552715442.573	0.065	0.280
3552715443.573	0.066	0.281
3552715444.573	0.064	0.278
3552715445.572	0.065	0.278
3552715446.572	0.066	0.281
3552715447.573	0.064	0.277
3552715448.573	0.064	0.281
3552719524.403	0.224	0.844	15.873	291.536	4627.413
3552719525.642	0.225	0.851	15.874	291.536	4627.912
3552719526.637	0.224	0.857	15.875	291.536	4628.154
3552719527.638	0.224	0.862	15.875	291.536	4628.149
3552719528.637	0.225	0.862	15.875	291.536	4628.174
3552719529.638	0.226	0.862	15.876	291.536	4628.373
3552719530.637	0.225	0.868	15.876	291.536	4628.481
3552719531.637	0.225	0.861	15.876	291.536	4628.555
